date,open,high,low,close,volume
2022-01-04,61940,64180,61940,63970,395300
2022-01-05,64390,65069,64390,64920,322300
2022-01-06,64790,64870,63570,63810,75300
2022-01-07,63860,63860,62780,63230,114100
2022-01-10,63610,63610,62360,62780,167200
2022-01-11,62740,63140,62120,63100,129700
2022-01-12,63070,63100,62280,63070,163300
2022-01-13,63140,63190,62310,62310,120000
2022-01-14,61910,62780,61910,62690,80400
2022-01-17,62740,63940,61490,61910,185000
2022-01-18,61950,63100,61950,62310,269400
2022-01-19,62740,62740,61490,61910,111500
2022-01-20,60870,63390,60420,61910,238100
2022-01-21,62690,62690,59850,61090,108700
2022-01-24,61200,61200,59640,59850,161600
2022-01-25,59800,61300,58990,59850,155900
2022-01-26,59850,59850,59020,59320,130100
2022-01-27,59850,61460,59430,61410,157500
2022-01-28,61410,61830,60710,61370,164800
2022-02-07,61710,63980,61710,62780,75700
2022-02-08,63350,63890,62690,63890,123100
2022-02-09,63710,63890,62310,63480,75900
2022-02-10,63890,64800,62440,64800,208500
2022-02-11,64840,65870,64180,65870,223800
2022-02-14,64050,69290,64050,69290,342500
2022-02-15,69250,70330,68890,70170,430400
2022-02-16,70290,70290,68100,69500,107500
2022-02-17,69290,71070,69140,70370,311500
2022-02-18,69340,70120,68840,69910,189100
2022-02-21,69750,70170,68930,70000,105500
2022-02-22,69710,69710,66040,69500,118400
2022-02-23,69390,70330,69390,70080,150800
2022-02-24,68560,70330,68310,70040,162700
2022-02-25,69840,70170,69340,70000,88000
2022-02-28,69750,70120,68760,70080,70600
2022-03-01,70080,70080,69140,69340,42900
2022-03-02,69540,70370,69140,70370,93200
2022-03-03,70180,70340,69580,69580,23700
2022-03-04,69140,69140,66620,66620,111700
2022-03-07,65590,66590,63750,64390,286000
2022-03-08,63850,64800,63800,64800,96800
2022-03-09,64430,67050,64140,64550,178800
2022-03-10,64550,66230,64550,65390,143000
2022-03-11,66130,66130,64010,64140,133700
2022-03-14,63710,64500,62890,64140,154500
2022-03-15,64140,64140,62670,63010,138100
2022-03-16,63090,64180,62760,64140,143000
2022-03-17,64140,64140,63390,64140,41700
2022-03-18,64430,64500,63090,63090,240200
2022-03-21,64090,64090,63350,63390,66500
2022-03-22,64050,64300,63640,64140,117300
2022-03-23,64140,66620,63690,65590,145400
2022-03-24,65730,65760,64550,65730,95200
2022-03-25,65790,65790,64930,65590,122600
2022-03-28,65840,65840,64140,65630,78100
2022-03-29,65630,66180,64680,65790,167300
2022-03-30,65790,65790,65140,65760,159900
2022-03-31,65760,66230,65540,66230,196900
2022-04-01,66840,69140,66260,68840,350200
2022-04-04,69470,69680,68930,69340,221400
2022-04-05,69340,69540,69140,69220,69400
2022-04-06,69140,70880,67920,70590,296600
2022-04-07,70300,70300,69340,69340,89600
2022-04-08,67310,69180,67310,68390,145200
2022-04-12,68350,69540,68010,68010,111700
2022-04-13,68060,68710,67550,68090,132800
2022-04-14,68260,69540,67310,69500,100300
2022-04-15,69140,71130,69140,70220,220100
2022-04-18,70130,72050,69960,70800,779800
2022-04-19,70800,71220,69140,70340,319300
2022-04-20,70340,72010,69540,71640,322500
2022-04-21,70840,71550,69500,70680,501700
2022-04-22,70630,75550,65760,70930,373000
2022-04-25,70470,70470,65970,65970,258900
2022-04-26,62890,70510,62890,70370,440300
2022-04-27,69760,70370,67600,70370,146500
2022-04-28,68760,69540,67970,68710,43700
2022-04-29,68460,69140,66620,67510,161500
2022-05-04,66560,68310,66560,68090,75900
2022-05-05,68090,70550,67130,70550,112300
2022-05-06,69140,70510,68710,69760,155000
2022-05-09,68010,69540,66620,66670,186100
2022-05-10,65510,68710,65390,68670,147000
2022-05-11,68640,68840,67470,68090,159400
2022-05-12,68090,69390,67420,68670,239400
2022-05-13,68310,68710,64090,67760,331600
2022-05-16,66230,67420,64340,65730,99700
2022-05-17,64050,68930,63710,68930,172300
2022-05-18,67470,67800,66230,67260,155400
2022-05-19,64970,67840,64970,67840,138600
2022-05-20,65930,66920,64970,65170,166700
2022-05-23,65220,65790,64140,64180,96400
2022-05-24,64180,64550,63710,64140,178100
2022-05-25,64140,64800,63750,64140,196200
2022-05-26,64140,64840,63510,63710,227400
2022-05-27,63750,64430,63600,64140,228700
2022-05-30,64140,64500,63600,63880,140900
2022-05-31,63880,64430,63260,63930,170900
2022-06-01,63550,64340,63550,63750,359100
2022-06-02,63750,64140,63550,63710,114900
2022-06-03,63710,65290,63710,64640,258700
2022-06-06,64550,66180,64550,66020,221300
2022-06-07,65760,66590,65340,66590,137700
2022-06-08,66590,67550,65760,66520,198900
2022-06-09,66520,66560,65390,65390,111000
2022-06-10,65390,65930,65170,65680,76800
2022-06-13,64550,64550,63180,63710,151500
2022-06-14,63310,63460,62290,62470,196400
2022-06-15,63310,63600,62470,63310,116800
2022-06-16,63510,65790,63510,65140,156700
2022-06-17,63690,65390,62890,64970,150800
2022-06-20,63710,64430,63090,63310,52400
2022-06-21,63930,65790,62050,64550,182900
2022-06-22,65680,65680,64140,64970,135500
2022-06-23,63130,64500,63130,63880,23500
2022-06-24,63390,64879,63390,64800,84000
2022-06-27,64970,65340,64550,65290,99100
2022-06-28,65290,65510,63640,65440,69100
2022-06-29,65440,65440,63930,64140,39300
2022-06-30,64140,64970,64140,64390,24300
2022-07-01,64840,64840,63510,64090,61500
2022-07-04,64140,64550,63510,63930,20800
2022-07-05,64470,64500,62810,62810,151300
2022-07-06,62810,63710,62470,63550,60300
2022-07-07,63690,65050,63060,65050,52100
2022-07-08,63690,65099,63690,64590,91500
2022-07-11,63970,64590,63710,64590,54500
2022-07-12,63640,64550,63640,63970,25900
2022-07-13,63800,64879,63800,63970,41700
2022-07-14,63710,64550,63710,64500,22400
2022-07-15,64140,64260,63550,64140,38500
2022-07-18,63850,64220,63800,64220,12000
2022-07-19,64340,65340,63800,65290,139000
2022-07-20,65590,66560,65290,66560,107200
2022-07-21,66620,69140,66620,68710,223300
2022-07-22,68310,69920,67050,69140,196400
2022-07-25,69140,69140,67880,68710,130900
2022-07-26,67470,69960,67470,69840,165100
2022-07-27,69880,69880,69050,69840,116700
2022-07-28,70470,72880,70470,72050,233300
2022-07-29,73050,76830,73050,74960,170300
2022-08-01,75790,76630,75090,76220,214600
2022-08-02,75790,78040,75790,77760,167300
2022-08-03,77470,79550,76970,79090,240200
2022-08-04,78300,79250,74960,77040,292700
2022-08-05,75840,79130,75640,76040,219700
2022-08-08,76390,78300,74550,75380,147600
2022-08-09,76630,76630,75050,75050,138800
2022-08-10,75790,75790,74460,75790,135400
2022-08-11,76130,76920,74960,75790,198700
2022-08-12,75600,76000,75210,75790,109400
2022-08-15,75790,77870,75420,77470,242900
2022-08-16,78040,78500,77510,78300,192800
2022-08-17,78300,78590,76630,78500,200800
2022-08-18,78460,82420,77510,80590,330000
2022-08-19,79590,81670,79590,81200,104300
2022-08-22,81380,81380,80040,80790,87800
2022-08-23,80590,81200,79130,79130,89400
2022-08-24,79130,80080,77670,77870,123100
2022-08-25,77920,80300,77800,78080,61400
2022-08-26,78000,78500,76750,78300,91500
2022-08-29,76420,79090,76420,78300,106300
2022-08-30,78500,78710,77800,78260,57400
2022-08-31,78220,78460,77260,78260,126000
2022-09-05,78260,78330,77510,78300,105900
2022-09-06,78300,79410,78220,78550,103500
2022-09-07,78550,78710,77170,78300,128400
2022-09-08,78710,80410,78300,79840,168200
2022-09-09,80170,81430,79840,80710,226800
2022-09-12,80710,82370,80710,81200,227400
2022-09-13,81200,81920,79550,79550,163100
2022-09-14,79130,79130,76630,76630,237400
2022-09-15,76830,78300,76220,77170,199800
2022-09-16,78660,78660,76220,77170,189100
2022-09-19,77170,78080,77000,77170,147300
2022-09-20,77470,78920,77380,78080,81800
2022-09-21,77260,78920,77130,78300,46700
2022-09-22,78880,78880,77380,77870,102800
2022-09-23,78300,78300,77340,77870,140200
2022-09-26,77470,78300,76630,77040,130700
2022-09-27,77630,77630,76220,77170,90500
2022-09-28,76630,76970,72880,76220,78800
2022-09-29,77290,77290,75170,76130,63300
2022-09-30,74140,77670,74140,77040,95200
2022-10-03,75380,77470,75380,75890,77400
2022-10-04,75890,78660,75890,78300,206200
2022-10-05,78950,79550,77920,78710,265100
2022-10-06,77130,77670,77040,77380,54100
2022-10-07,76220,77870,76220,77870,178100
2022-10-10,77470,77510,75450,76830,211500
2022-10-11,76420,77260,75840,76420,158300
2022-10-12,78080,78080,76420,76420,60200
2022-10-13,76420,79130,75600,79130,195600
2022-10-14,80380,80380,76630,78460,99100
2022-10-17,77260,79050,76470,77090,66700
2022-10-18,78880,79050,77170,79050,180300
2022-10-19,79130,79500,78500,79500,113900
2022-10-20,79130,79920,78800,79680,114400
2022-10-21,79740,81200,78880,80380,177500
2022-10-24,81630,84540,75380,75380,279300
2022-10-25,76470,80170,76420,78220,252100
2022-10-26,80630,80630,77510,77510,150600
2022-10-27,77530,78660,76420,78260,222000
2022-10-28,79130,79380,77510,77510,85800
2022-10-31,78500,78500,76000,77170,105700
2022-11-01,77170,77830,76290,76470,170700
2022-11-02,76470,76470,75000,76420,165000
2022-11-03,76220,76220,75210,75790,63000
2022-11-04,75790,77040,74550,75790,117500
2022-11-07,75840,76630,75420,76630,196800
2022-11-08,76630,76720,76130,76220,169200
2022-11-09,76240,77380,76240,76830,145300
2022-11-10,77260,77470,76220,76830,167600
2022-11-11,78300,79920,77380,78220,162000
2022-11-14,78220,81580,75790,81200,240000
2022-11-15,81170,81170,77670,77670,159000
2022-11-16,75790,77470,75300,75300,271400
2022-11-17,76180,80540,74760,76220,282600
2022-11-18,77210,77260,74340,74630,295400
2022-11-21,75790,76630,74960,76040,73300
2022-11-22,75260,77040,75000,75450,103100
2022-11-23,75300,76220,75300,75790,53900
2022-11-24,76220,76220,74960,75170,152600
2022-11-25,75170,75890,74920,74960,144400
2022-11-28,69720,74960,69720,73760,297700
2022-11-29,73800,74920,72590,73300,310700
2022-11-30,74880,75260,73340,74960,288300
2022-12-01,74550,75170,72880,73050,377600
2022-12-02,73090,75300,73090,73710,307500
2022-12-05,73760,75380,73760,74840,167200
2022-12-06,74800,74960,74090,74340,250500
2022-12-07,73540,74920,73510,74550,214100
2022-12-08,74920,74960,73710,74140,188000
2022-12-09,74660,74660,73710,74140,217600
2022-12-12,74140,74920,74140,74250,235700
2022-12-13,74250,74760,74140,74140,361900
2022-12-14,74710,74840,73850,74550,252200
2022-12-15,74600,74880,74300,74550,139600
2022-12-16,74550,74550,73760,73760,425900
2022-12-19,73800,74340,72880,72880,162100
2022-12-20,73060,74790,72670,73090,306400
2022-12-21,72880,74530,72880,73930,173000
2022-12-22,74060,75160,74060,74060,123200
2022-12-23,74740,74790,73930,73930,75300
2022-12-26,74360,74740,73090,73090,220800
2022-12-27,74060,74360,73090,74150,24600
2022-12-27,74230,74530,72450,72450,138400
2022-12-28,72590,74580,72500,74580,157000
2022-12-29,73300,74230,73060,73060,103400
2022-12-30,73520,74330,70520,70520,167300
2023-01-03,72290,73300,71060,71390,121700
2023-01-04,71480,73520,71390,72450,116900
2023-01-05,72670,77520,72450,73600,255300
2023-01-06,74870,77140,73600,76350,130100
2023-01-09,75840,76890,74280,75890,46900
2023-01-10,75930,76130,74400,74400,101200
2023-01-11,76040,76850,76040,76470,155000
2023-01-12,76890,76890,75630,75960,30200
2023-01-13,75960,78760,75960,78550,218100
2023-01-16,79410,80220,78620,79640,105300
2023-01-17,79410,79640,77020,79000,88600
2023-01-18,81130,81130,79000,79000,75200
2023-01-19,80270,81540,78460,78460,201700
2023-01-27,78500,82390,78500,81580,133600
2023-01-30,81580,81580,80060,80270,177800
2023-01-31,79000,80620,78800,79860,55500
2023-02-01,79860,80490,78840,79000,170700
2023-02-02,80270,80910,78620,79220,88700
2023-02-03,78500,81460,78500,81460,105300
2023-02-06,80490,82560,80320,82560,78800
2023-02-07,81130,83230,80770,80770,28900
2023-02-08,79860,83860,79860,83310,109700
