date,open,high,low,close,volume
2021-01-04,42680,43460,42370,43120,855900
2021-01-05,43120,43810,43120,43240,739200
2021-01-06,43330,46250,43240,45730,2080400
2021-01-07,45290,47260,45290,46600,889000
2021-01-08,47040,47040,45510,45640,963900
2021-01-11,45560,46030,45340,45510,847400
2021-01-12,45980,45980,45380,45980,634900
2021-01-13,45980,46200,45290,45640,1064200
2021-01-14,45730,45820,44990,45250,832200
2021-01-15,45640,45690,44630,44940,1099800
2021-01-18,45070,45730,44850,44990,1060400
2021-01-19,44890,44990,41840,43120,1130300
2021-01-20,43120,46110,42680,43150,2093000
2021-01-21,43150,44850,42680,44850,1283700
2021-01-22,44850,45290,44420,44850,1268500
2021-01-25,44030,44850,44030,44630,725900
2021-01-26,44630,44630,43120,43940,970500
2021-01-27,43150,43550,40890,42420,1566800
2021-01-28,40070,40630,39460,39460,1205500
2021-01-29,37240,42200,37240,40500,1359000
2021-02-01,41800,41800,39630,39670,1309600
2021-02-02,40070,42110,40070,42020,1064500
2021-02-03,42630,43120,42060,43070,1454600
2021-02-04,43070,43120,40890,43070,967300
2021-02-05,43070,43550,42630,43550,897400
2021-02-08,43120,43460,40540,40980,2902200
2021-02-09,42240,42420,40540,42330,2978900
2021-02-17,42460,43550,42460,43550,1054100
2021-02-18,43120,44420,42680,44420,1688900
2021-02-19,43200,44300,43150,44110,1851200
2021-02-22,43770,44420,43680,43810,1388700
2021-02-23,43550,43990,43200,43550,1441400
2021-02-24,43770,43990,42020,42730,1265300
2021-02-25,43120,43330,42510,42770,896100
2021-02-26,42370,43120,42240,42770,1070700
2021-03-01,42770,43240,42770,43200,911200
2021-03-02,43550,44340,42680,43240,1189600
2021-03-03,42810,43290,42770,42850,915600
2021-03-04,42940,43330,40540,42370,1118100
2021-03-05,42290,42330,41370,41980,1661600
2021-03-08,42240,42240,41370,41460,1501800
2021-03-09,41370,41370,40540,41370,1344300
2021-03-10,41370,41730,40940,41590,1063900
2021-03-11,41730,42150,41730,41940,1009800
2021-03-12,41940,42020,41150,41730,1259800
2021-03-15,41800,42240,41590,41940,1438400
2021-03-16,41800,41800,41420,41680,655800
2021-03-17,41590,41730,41370,41640,1239400
2021-03-18,41890,42460,41590,42460,1609100
2021-03-19,42290,42290,41020,41020,1595700
2021-03-22,41800,42460,41550,42240,1902000
2021-03-23,42200,42200,41550,41730,940800
2021-03-24,41370,41770,40980,41250,1422500
2021-03-25,41250,41800,41150,41420,1160300
2021-03-26,41370,41590,40800,41330,1196800
2021-03-29,41460,41730,40720,41510,1195800
2021-03-30,41510,41510,40980,41290,1748700
2021-03-31,41150,41420,40980,41290,944600
2021-04-01,41460,42550,41460,42200,2697600
2021-04-02,42460,42900,42200,42590,2277500
2021-04-05,43550,44770,42940,44420,3592400
2021-04-06,44420,44630,43770,44380,2243200
2021-04-07,43990,44420,43720,44380,1182700
2021-04-08,44380,44380,43330,43550,1575400
2021-04-09,43330,43330,42460,42460,2101700
2021-04-12,42900,43200,42420,43070,2670100
2021-04-13,43550,43550,42460,42460,1670900
2021-04-14,42370,42990,42200,42990,1336800
2021-04-15,43460,43460,42150,42460,2152800
2021-04-16,42370,42900,41800,41940,1515900
2021-04-19,42240,42900,41730,42900,1387500
2021-04-20,43150,45730,42900,44850,6274200
2021-04-22,44850,45980,44510,44850,2981300
2021-04-23,44850,45290,43770,45290,2285300
2021-04-26,45290,45290,42630,42940,3595400
2021-04-27,42940,43370,42550,43120,1191800
2021-04-28,43120,43240,42550,43120,1426900
2021-04-29,43120,43550,42680,43550,1615700
2021-05-04,43120,43370,42680,43150,1496300
2021-05-05,43150,44420,43150,44070,1826700
2021-05-06,44070,44300,43120,43240,1161200
2021-05-07,43070,43120,42110,42240,2284800
2021-05-10,42110,42770,41770,42730,1674000
2021-05-11,42770,43240,42460,42630,1171500
2021-05-12,42630,42630,42240,42370,1218300
2021-05-13,42330,42590,42150,42150,1698000
2021-05-14,42420,42810,42060,42200,1403600
2021-05-17,42290,42370,41730,41800,1715100
2021-05-18,41510,41800,41150,41200,2103400
2021-05-19,41200,41200,40850,40980,1678100
2021-05-20,40980,43120,40980,43120,1904100
2021-05-21,41940,42680,41800,42150,1459200
2021-05-24,42460,42900,42020,42420,1814700
2021-05-25,42420,43550,42420,43460,3816000
2021-05-26,43510,44340,43410,43720,2356000
2021-05-27,43720,43720,42680,42990,1455000
2021-05-28,43120,44030,42510,43370,2196000
2021-05-31,43990,43990,42810,42940,2621000
2021-06-01,43290,45380,42990,45160,4533500
2021-06-02,45290,46820,45160,46160,4274100
2021-06-03,46200,47040,46160,46470,2802000
2021-06-04,46380,46380,45340,45690,2405800
2021-06-07,45420,45690,44070,44850,2969900
2021-06-08,44850,45290,43550,43550,2351600
2021-06-09,43550,44420,43200,44420,2393900
2021-06-10,44420,44810,43550,44340,2262500
2021-06-11,44030,45070,43770,44770,2048000
2021-06-14,44470,45030,44110,44420,1459700
2021-06-15,44470,44850,43990,44770,1420700
2021-06-16,44630,46160,44630,45290,2898400
2021-06-17,45290,45730,44420,45380,1557000
2021-06-18,45510,47460,45420,47260,3234900
2021-06-21,47040,47120,46160,46420,2107900
2021-06-22,46640,47260,46380,46860,1481900
2021-06-23,47040,48350,46600,47770,2248600
2021-06-24,47900,48250,46950,48210,1143400
2021-06-25,48210,49120,47420,49040,1688800
2021-06-28,49040,49210,48390,49040,1524500
2021-06-29,48770,49650,48560,49650,1853100
2021-06-30,49650,51040,49650,50690,2768000
2021-07-01,50820,50870,50080,50690,1836400
2021-07-02,50690,50780,49650,50030,1727200
2021-07-05,49610,49610,48300,49470,2049100
2021-07-06,48990,50080,48770,48770,1249600
2021-07-07,48770,49390,46160,49390,2679800
2021-07-08,48430,49210,47460,48350,1384100
2021-07-09,47900,48390,46510,47820,2936900
2021-07-12,47680,47680,44890,46640,2480600
2021-07-13,46560,46560,44470,45030,1865300
2021-07-14,45010,45050,43530,44320,2251700
2021-07-15,43610,45490,43610,44610,2319400
2021-07-16,44610,45010,43970,44610,1467300
2021-07-19,43530,43610,41750,42230,2542200
2021-07-20,42580,43970,40700,43610,2386000
2021-07-21,43310,43750,42790,43090,1463700
2021-07-22,43050,43830,42660,43660,1455800
2021-07-23,43230,43440,42230,42230,1668700
2021-07-26,42000,42440,41660,41780,1264200
2021-07-27,42440,42490,41360,41360,2654200
2021-07-28,41410,42230,41410,42230,1490800
2021-07-29,42400,42610,42230,42610,1191800
2021-07-30,42350,43010,42310,42660,1354600
2021-08-02,42230,42970,41960,42230,1279800
2021-08-03,42270,43010,42230,43010,1265700
2021-08-04,43180,43230,42710,42880,1160300
2021-08-05,42660,43310,42610,43270,1127700
2021-08-06,43440,43440,42710,42710,1114400
2021-08-09,42710,43050,42530,42790,1228900
2021-08-10,43090,43180,42880,43090,1556400
2021-08-11,43230,44280,43140,43750,1711700
2021-08-12,43750,43880,43310,43490,986600
2021-08-13,43490,43490,42790,43350,1328900
2021-08-16,43350,43790,43090,43790,1992400
2021-08-17,44610,44830,43970,43970,1688700
2021-08-18,43970,44610,43400,43970,1848000
2021-08-19,43830,44830,43440,44750,2576600
2021-08-20,44050,44360,43270,43570,1798500
2021-08-23,43090,43530,42050,42350,2136200
2021-08-24,43180,43180,42000,42230,1069100
2021-08-25,42230,43090,42130,42440,1069200
2021-08-26,42580,43090,42130,42130,1076900
2021-08-27,41780,42880,41780,42580,1106600
2021-08-30,42830,43270,42580,43230,1221700
2021-08-31,43310,43490,42790,43270,747500
2021-09-01,43270,43490,41780,43270,907500
2021-09-06,43270,43570,43270,43530,904500
2021-09-07,43490,43880,43440,43530,1041800
2021-09-08,43530,43570,42130,43400,863000
2021-09-09,43400,43570,42930,43230,817200
2021-09-10,43440,43440,42930,43180,857800
2021-09-13,43010,43090,42710,42710,1043100
2021-09-14,42710,42880,42230,42790,1230500
2021-09-15,42790,42790,42270,42270,798500
2021-09-16,43050,43050,42440,42710,570400
2021-09-17,42440,42830,42310,42310,1002200
2021-09-20,42350,43970,42350,43350,1277900
2021-09-21,43310,43440,42660,42660,862000
2021-09-22,42830,43310,42660,43310,362800
2021-09-23,43350,43710,42880,43310,676000
2021-09-24,43310,43440,43230,43310,454700
2021-09-27,43310,43400,42660,42660,465500
2021-09-28,42580,43230,42440,43180,484500
2021-09-29,43310,43310,42440,42880,565000
2021-09-30,42880,42930,42270,42310,1199900
2021-10-01,42350,42750,41710,41750,1611900
2021-10-04,41780,42000,41090,41180,913400
