date,open,high,low,close,volume
2022-01-04,23860,24190,23760,24040,11334600
2022-01-05,24040,24190,23760,23860,9569600
2022-01-06,23710,23810,23430,23580,10716400
2022-01-07,23580,23670,23340,23360,7832200
2022-01-10,23390,23430,23130,23130,7180200
2022-01-11,23100,23200,22860,22890,7296500
2022-01-12,22890,23810,22860,23810,12044200
2022-01-13,24040,24470,23710,23860,14417100
2022-01-14,23620,23810,23390,23510,5187100
2022-01-17,23480,23860,22960,22960,10990600
2022-01-18,22960,23360,22910,23030,7885200
2022-01-19,23150,23340,23060,23080,4221900
2022-01-20,22980,23340,22960,23080,6430300
2022-01-21,23150,24000,23100,23530,10321600
2022-01-24,23590,24290,23530,23760,16269200
2022-01-25,24190,24620,24090,24520,14466300
2022-01-26,24750,25180,24570,24750,15042300
2022-01-27,24570,24900,24340,24520,8044000
2022-01-28,24520,25040,24370,24950,10292900
2022-02-07,25370,25420,24950,24950,9809900
2022-02-08,24950,25650,24950,25420,16481000
2022-02-09,25510,25930,25320,25320,17391000
2022-02-10,25320,25600,25090,25320,11224900
2022-02-11,25280,25420,25040,25370,7847800
2022-02-14,25130,25130,24340,24340,18771500
2022-02-15,24370,24620,24240,24470,8584300
2022-02-16,24660,24660,24340,24370,6174400
2022-02-17,24370,24800,24370,24660,7301000
2022-02-18,24420,24570,24340,24370,6543700
2022-02-21,24370,24420,24000,24340,8654200
2022-02-22,24090,24420,23910,24290,10561000
2022-02-23,24420,24660,24290,24420,6188300
2022-02-24,24340,24520,23530,23860,15532800
2022-02-25,24090,24240,23860,23960,6665900
2022-02-28,23860,24040,23710,23810,7106100
2022-03-01,23960,23960,23670,23760,6945900
2022-03-02,23670,23670,23240,23240,17893100
2022-03-03,23390,23580,23220,23460,7391900
2022-03-04,23510,23810,23390,23590,7022700
2022-03-07,23390,23430,23200,23260,8078600
2022-03-08,23150,23390,23060,23150,8766400
2022-03-09,23150,23310,23100,23200,6957800
2022-03-10,23530,23530,23260,23260,4387100
2022-03-11,23240,23240,23010,23100,6422600
2022-03-14,23060,23100,22820,22910,5161200
2022-03-15,22960,23150,22910,22960,3829700
2022-03-16,23060,23360,23060,23180,4542000
2022-03-17,23360,23390,23150,23150,3249200
2022-03-18,23220,23340,23200,23240,2909700
2022-03-21,23260,23410,23200,23360,3921900
2022-03-22,23410,23760,23390,23580,5953800
2022-03-23,23580,23710,23430,23430,3409900
2022-03-24,23430,23530,23290,23290,3214000
2022-03-25,23340,23360,23220,23260,3175400
2022-03-28,23220,23220,22840,23060,6597500
2022-03-29,23100,23220,22980,23100,4151200
2022-03-30,23100,23580,23100,23220,5598900
2022-03-31,23390,23480,23290,23410,5248700
2022-04-01,23410,23810,23340,23760,9575500
2022-04-04,23810,23910,23460,23460,9775600
2022-04-05,23340,23390,23180,23180,5803000
2022-04-06,23100,23580,23010,23580,9012200
2022-04-07,23580,23760,23290,23290,5971000
2022-04-08,23340,23340,23060,23080,7030100
2022-04-12,23010,23100,22630,22680,8278800
2022-04-13,22860,22890,22630,22680,6722300
2022-04-14,22700,22840,22280,22350,8324100
2022-04-15,22350,22350,21540,21540,18618800
2022-04-18,21730,21850,21170,21190,11505300
2022-04-19,21260,21470,20560,20640,7232900
2022-04-20,20640,20890,20340,20340,7909800
2022-04-21,20310,20790,20270,20590,10019500
2022-04-22,20790,21140,20570,20840,6681100
2022-04-25,20890,20930,19400,19400,12317000
2022-04-26,19180,19840,18350,19610,11120700
2022-04-27,19460,19940,19330,19650,6154800
2022-04-28,19680,20220,19680,19980,4729300
2022-04-29,19980,20790,19940,20790,9795500
2022-05-04,20560,20620,19840,19840,6384600
2022-05-05,20240,20240,19560,20130,4804200
2022-05-06,19700,19980,19610,19610,4889500
2022-05-09,19460,19560,18240,18240,12361700
2022-05-10,17690,18350,17690,18290,10236300
2022-05-11,18420,18640,18170,18420,4071500
2022-05-12,18420,18420,17150,17150,7306300
2022-05-13,17150,17390,15970,15970,15203300
2022-05-16,16580,16910,15400,15400,11689600
2022-05-17,15400,16460,15380,16460,9447600
2022-05-18,16860,17440,16700,17030,8689300
2022-05-19,16730,17190,16630,16910,5692200
2022-05-20,16910,17220,16700,16860,5443200
2022-05-23,16910,17110,16460,16460,5290600
2022-05-24,16440,16660,16250,16660,4270100
2022-05-25,16940,17310,16780,17240,6709700
2022-05-26,17340,17600,17270,17340,4687800
2022-05-27,17440,17690,17410,17690,5777300
2022-05-30,17950,17950,17690,17840,4224300
2022-05-31,17690,17770,17550,17550,5119800
2022-06-01,17480,17810,17310,17410,3829000
2022-06-02,17440,17480,17010,17190,3533700
2022-06-03,17180,17410,17030,17220,3040200
2022-06-06,17220,17390,17010,17030,3845100
2022-06-07,17010,17110,16530,17110,4640800
2022-06-08,17150,17690,17080,17600,6456800
2022-06-09,17600,17740,17510,17670,5776000
2022-06-10,17480,18380,17460,17930,8194200
2022-06-13,17480,17600,16980,17010,6673500
2022-06-14,16680,17150,16630,16890,3740800
2022-06-15,16860,17080,16560,16860,5449100
2022-06-16,16960,17240,16820,17030,5916100
2022-06-17,16560,16730,16000,16300,4994900
2022-06-20,16300,16630,15590,15590,4004000
2022-06-21,15640,15970,15500,15590,4900200
2022-06-22,15950,16680,15800,16440,6208200
2022-06-23,16440,17190,16329,16980,4708100
2022-06-24,16980,17060,16780,16780,2969100
2022-06-27,16800,16980,16780,16800,4282300
2022-06-28,16780,17460,16700,17340,5342500
2022-06-29,17110,17550,17110,17360,3048300
2022-06-30,17270,17530,16800,16800,3566500
2022-07-01,16820,17130,16460,17010,3473300
2022-07-04,17130,17340,17030,17180,3148000
2022-07-05,17290,18070,17180,17840,10888900
2022-07-06,17720,18140,17570,17770,6055300
2022-07-07,17690,17950,17480,17860,3567400
2022-07-08,17930,17950,17640,17740,4058400
2022-07-11,17510,17620,16780,16820,8452700
2022-07-12,16910,17060,16840,17060,3916500
2022-07-13,17080,17390,17010,17060,3156800
2022-07-14,16960,17150,16940,16980,2902000
2022-07-15,17060,17270,17060,17060,4094300
2022-07-18,17150,17410,17060,17150,2990600
2022-07-19,17130,17150,16890,17060,2566900
2022-07-20,17240,17290,17110,17150,4923800
2022-07-21,17290,17440,17150,17410,5488700
2022-07-22,17620,17910,17510,17530,4424700
2022-07-25,17410,17530,17360,17390,2340300
2022-07-26,17390,17510,17270,17290,2794900
2022-07-27,17190,17290,17190,17290,1654100
2022-07-28,17440,17720,17390,17620,5604300
2022-07-29,17720,17910,17550,17910,5486300
2022-08-01,17890,18330,17770,18240,6875400
2022-08-02,18140,18240,17970,18070,3746700
2022-08-03,18090,18140,17890,18020,4944700
2022-08-04,18070,18350,18050,18140,4630800
2022-08-05,18140,18330,18090,18140,3914900
2022-08-08,18190,18730,18190,18520,7998700
2022-08-09,18620,18730,18420,18500,4306400
2022-08-10,18350,18450,18290,18330,3001500
2022-08-11,18470,18570,18120,18190,4920200
2022-08-12,18190,18330,18070,18330,2817400
2022-08-15,18420,18590,18350,18470,4366600
2022-08-16,18450,18520,18400,18420,3042300
2022-08-17,18450,18590,18420,18570,4459300
2022-08-18,18470,18670,18400,18470,5337200
2022-08-19,18450,18520,18400,18420,2566900
2022-08-22,18350,18470,18220,18290,3086100
2022-08-23,18260,18330,18120,18330,3339900
2022-08-24,18330,18780,18330,18550,3993200
2022-08-25,18570,18750,18570,18690,3706900
2022-08-26,18700,18870,18670,18670,4353000
2022-08-29,18330,18470,18190,18310,4474600
2022-08-30,18330,18500,18310,18310,3807500
2022-08-31,18310,18500,18260,18400,2265500
2022-09-05,18350,18380,18220,18240,2788600
2022-09-06,18220,18420,18220,18260,2340700
2022-09-07,18260,18290,17740,17740,4269000
2022-09-08,17840,17910,17640,17670,2473200
2022-09-09,17810,17810,17480,17790,2951100
2022-09-12,17790,17860,17690,17720,1017200
2022-09-13,17670,17770,17620,17620,1687000
2022-09-14,17240,17480,17240,17390,2794500
2022-09-15,17480,17510,17290,17290,1611900
2022-09-16,17190,17310,17010,17010,2188200
2022-09-19,17010,17010,16460,16560,3777300
2022-09-20,16800,16800,16490,16560,1989200
2022-09-21,16530,16580,16300,16300,2073000
2022-09-22,16200,16370,16110,16329,2922800
2022-09-23,16280,16350,16079,16160,2265200
2022-09-26,16000,16000,15570,15710,5217000
2022-09-27,15850,16020,15680,15830,2336300
2022-09-28,15750,15920,15680,15710,2069900
2022-09-29,15920,15920,15590,15590,2640300
2022-09-30,15590,15680,15220,15350,5240200
2022-10-03,15350,15400,14290,14290,6076000
2022-10-04,14550,14640,14170,14320,5966900
2022-10-05,14640,14670,14410,14410,3986800
2022-10-06,14410,14550,13840,13840,5573700
2022-10-07,13660,13660,12880,12880,14349900
2022-10-10,12190,12730,11970,12190,18275400
2022-10-11,12190,12190,11340,11340,21188700
2022-10-12,11340,12000,11130,11720,9605400
2022-10-13,11720,11950,11390,11950,9386700
2022-10-14,12520,12520,12050,12140,6333400
2022-10-17,12050,12050,11510,11860,7740800
2022-10-18,12100,12240,11890,11950,5030200
2022-10-19,11950,12050,11620,11900,4571000
2022-10-20,11860,11860,11600,11620,5210100
2022-10-21,11740,11740,10820,10820,9633400
2022-10-24,10890,11040,10060,10060,11800600
2022-10-25,10060,10610,9450,10060,9593300
2022-10-26,10260,10300,9950,10110,3153400
2022-10-27,10160,10790,10160,10790,5222800
2022-10-28,11150,11520,11110,11520,12484200
2022-10-31,11620,11720,11110,11620,7284700
2022-11-01,11820,12280,11820,12120,8603400
2022-11-02,12140,12190,11840,11900,5442300
2022-11-03,11650,12220,11650,12220,6663000
2022-11-04,11820,12050,11360,12050,12626400
2022-11-07,12020,12190,11220,11220,6326200
2022-11-08,11220,11770,10870,11410,5353800
2022-11-09,11570,11860,11440,11510,3645200
2022-11-10,11340,11390,10710,10750,7580100
2022-11-11,11110,11320,10770,10770,5479500
2022-11-14,10490,10580,10060,10490,5828500
2022-11-15,10410,10410,9760,9780,10943000
2022-11-16,9120,10440,9120,10440,18062800
2022-11-17,10730,10890,10490,10840,5977300
2022-11-18,10790,11040,10300,10730,6390000
2022-11-21,10710,10910,10510,10510,4508400
2022-11-22,10410,10890,10330,10330,7548800
2022-11-23,10390,10580,10260,10390,3771800
2022-11-24,10390,10490,10160,10460,3471500
2022-11-25,10560,10870,10490,10870,5208100
2022-11-28,11010,11620,10990,11620,9058600
2022-11-29,11790,12100,11510,11900,7876400
2022-11-30,11900,12240,11790,12240,8860700
2022-12-01,12400,13080,12400,12950,16532500
2022-12-02,12760,13700,12680,13610,9001200
2022-12-05,13940,14080,13610,13700,8445100
2022-12-06,13610,13700,12760,12780,14489700
2022-12-07,12760,12830,12270,12470,7114400
2022-12-08,12660,13330,12520,13330,10144300
2022-12-09,13440,13460,13080,13350,4407800
2022-12-12,13350,13490,12850,12850,6189600
2022-12-13,12850,13610,12760,13610,7316900
2022-12-14,13940,14030,13610,13610,7999600
2022-12-15,13610,13960,13510,13940,7681000
2022-12-16,13700,13840,13510,13780,6469000
2022-12-19,13780,14480,13730,13820,9319200
2022-12-20,13700,13820,12880,13080,11750600
2022-12-21,13250,13330,12430,13080,6560300
2022-12-22,13110,13410,12880,13080,3604900
2022-12-23,13080,13180,12730,13040,2878800
2022-12-26,12880,12950,12140,12140,7542600
2022-12-27,12100,12380,12000,12120,1237900
2022-12-27,12120,12430,12050,12430,4426300
2022-12-28,12330,12500,12170,12350,3298700
2022-12-29,12330,12430,12170,12270,2934700
2022-12-30,12270,12330,12220,12220,2181900
2023-01-03,12170,12970,12170,12970,3786800
2023-01-04,12970,13130,12880,12900,3185500
2023-01-05,12900,13130,12830,13060,2716900
2023-01-06,12970,13410,12900,13080,4803900
2023-01-09,13130,13210,13040,13110,2387700
2023-01-10,13110,13230,12900,12970,2613300
2023-01-11,12970,13230,12900,13060,3136500
2023-01-12,13060,13210,13040,13160,2124100
2023-01-13,13180,13380,13130,13130,2810200
2023-01-16,13160,13280,13060,13280,2492900
2023-01-17,13410,13840,13400,13700,6179200
2023-01-18,13750,13780,13660,13750,3241200
2023-01-19,13630,13840,13630,13750,4742400
2023-01-27,13860,14030,13700,13730,5539200
2023-01-30,13730,13730,13490,13560,5917000
2023-01-31,13540,13890,13250,13890,6148400
2023-02-01,13940,13940,13230,13330,5944500
2023-02-02,13330,13410,13040,13230,3795200
2023-02-03,13280,13330,12800,12800,6448000
2023-02-06,12800,13230,12780,13210,3181900
2023-02-07,13210,13250,12950,12950,3288400
2023-02-08,13000,13210,12950,13160,2709000
2023-02-09,13080,13160,12900,12900,2757300
2023-02-10,12920,13000,12710,12730,2626000
2023-02-13,12680,12710,12450,12570,2897200
2023-02-14,12520,12950,12520,12680,2949800
2023-02-15,12680,13040,12570,12950,2633000
2023-02-16,13040,13180,12850,13180,2247700
2023-02-17,13110,13130,13000,13130,1784300
2023-02-20,13110,13510,13080,13510,2743200
2023-02-21,13510,13680,13400,13410,2590900
2023-02-22,13250,13300,13000,13000,2373000
2023-02-23,13000,13210,12760,13210,3597400
2023-02-24,13210,13210,12830,12880,1972500
2023-02-27,12850,12850,12570,12760,2377000
2023-02-28,12760,12850,12520,12520,2104000
2023-03-01,12380,12920,12300,12900,2204200
2023-03-02,13020,13040,12760,12850,1549900
2023-03-03,12850,12920,12550,12660,1875800
2023-03-06,12760,12970,12620,12850,2568900
2023-03-07,12850,13000,12780,12800,2340300
2023-03-08,12710,12950,12660,12900,1945300
2023-03-09,13000,13160,12850,13130,3286200
2023-03-10,13000,13040,12760,12830,2129800
2023-03-13,12550,12730,12550,12640,3114300
2023-03-14,12600,12640,12430,12430,2469900
2023-03-15,12660,12950,12660,12850,2361600
2023-03-16,12710,12730,12450,12640,2661700
2023-03-17,12660,12800,12570,12600,1199600
2023-03-20,12520,12570,12400,12400,2286500
2023-03-21,12520,12570,12330,12450,1997800
2023-03-22,12500,12570,12400,12450,2215200
2023-03-23,12380,12450,12220,12380,2248200
2023-03-24,12470,12620,12430,12550,1872800
2023-03-27,12500,12620,12450,12570,1328700
2023-03-28,12620,13080,12620,13000,7473700
2023-03-29,13020,13380,13000,13180,5559300
2023-03-30,13400,13460,13080,13080,4690400
2023-03-31,13130,13410,13130,13380,6868700
2023-04-03,13700,13860,13560,13820,11639500
2023-04-04,13840,13940,13730,13890,6754000
2023-04-05,13890,13990,13790,13890,3971600
2023-04-06,13860,14270,13860,14160,7354900
2023-04-07,14010,14010,13890,13960,3641400
2023-04-10,14010,14550,13990,14240,5389000
2023-04-11,14270,14360,13990,14360,5209800
2023-04-12,14360,14620,14220,14460,4355800
2023-04-13,14460,14620,14320,14360,2912500
2023-04-14,14270,14360,13730,13820,8037200
2023-04-17,13700,13910,13580,13780,2515900
2023-04-18,13890,13890,13660,13790,2206700
2023-04-19,13790,13890,13730,13750,2165300
2023-04-20,13660,13700,13490,13560,2122700
2023-04-21,13700,13700,13580,13580,2027900
2023-04-24,13560,14060,13540,13910,3063700
2023-04-25,14010,14110,13790,13790,1866000
2023-04-26,13790,13990,13630,13990,2442200
2023-04-27,14270,14270,14110,14110,1818500
2023-04-28,14160,14160,13960,14010,1877800
2023-05-04,13940,13940,13660,13730,1791100
2023-05-05,13730,13790,13440,13510,3318700
2023-05-08,13660,13840,13560,13840,2486500
2023-05-09,13910,13940,13730,13820,1880300
2023-05-10,13860,13890,13750,13820,2300800
2023-05-11,13940,13940,13750,13780,2336600
2023-05-12,13750,13820,13700,13820,2313000
2023-05-15,13910,14240,13890,14110,6910600
2023-05-16,14220,14220,14060,14080,1961300
2023-05-17,14030,14130,13840,13860,3364800
2023-05-18,13820,14030,13820,13990,3036400
2023-05-19,13960,14060,13820,14030,3127700
2023-05-22,14030,14460,14030,14410,9076700
2023-05-23,14510,14510,14170,14340,4205200
2023-05-24,14360,14440,14060,14080,4818900
2023-05-25,14080,14130,13990,14080,2521600
2023-05-26,14130,14160,14010,14130,1794600
2023-05-29,14170,14270,14080,14270,2765200
2023-05-30,14360,14390,14170,14270,2100900
2023-05-31,14270,14320,14130,14160,3944600
2023-06-01,14170,14320,14060,14320,4776200
2023-06-02,14550,15220,14510,15220,13798700
2023-06-05,15330,15500,15070,15070,5861900
2023-06-06,15070,15450,15000,15450,6000100
2023-06-07,15380,15470,15220,15400,4964100
2023-06-08,15450,15470,15000,15000,5741200
2023-06-09,15020,15350,14930,15300,5315500
2023-06-12,15240,15520,15070,15450,4136800
2023-06-13,15450,15550,15300,15500,3529000
2023-06-14,15590,15800,15380,15400,5374800
2023-06-15,15400,15550,15300,15420,3863700
2023-06-16,15420,15800,15350,15380,6928400
2023-06-19,15380,15380,15100,15170,3674300
2023-06-20,15220,15240,15100,15190,2084400
2023-06-21,15190,15350,15170,15350,2506800
2023-06-22,15550,15670,15400,15400,4395200
2023-06-23,15420,15710,15380,15550,4144400
