date,open,high,low,close,volume
2023-01-03,48000,49400,47000,49400,1622300
2023-01-04,49900,49900,49000,49000,1176400
2023-01-05,49000,50000,49000,49700,1951700
2023-01-06,49750,50300,49500,49900,1171800
2023-01-09,50200,50500,49700,50200,1196400
2023-01-10,50100,50400,49750,49750,894100
2023-01-11,50300,50900,49800,50800,1186100
2023-01-12,51100,51700,51000,51500,1238700
2023-01-13,51700,52000,51100,52000,1047000
2023-01-16,52000,52300,51300,51300,1118900
2023-01-17,51300,52000,49550,52000,1453600
2023-01-18,52000,52900,50900,52500,1264300
2023-01-19,52400,53400,51500,52200,2235700
2023-01-27,52400,53900,51900,53300,1282700
2023-01-30,53300,53500,51500,51500,1349500
2023-01-31,51500,51800,50400,50900,1312000
2023-02-01,50700,50900,48000,48000,3648300
2023-02-02,48500,49200,47700,47900,2156100
2023-02-03,48000,48500,47500,48100,1246200
2023-02-06,47900,48000,47100,47950,1693000
2023-02-07,48000,48000,46050,46800,2542100
2023-02-08,46700,46700,44450,46600,4744700
2023-02-09,45650,46700,45300,45300,3121100
2023-02-10,45000,45750,45000,45400,1602200
2023-02-13,44800,45000,43400,44400,2467600
2023-02-14,44000,44200,42200,42750,3875000
2023-02-15,42700,42700,41600,42500,4288300
2023-02-16,42750,42750,42000,42500,2366000
2023-02-17,42700,43600,42500,43300,2064500
2023-02-20,43500,46300,43400,45200,4177000
2023-02-21,45500,46150,45100,45200,1571200
2023-02-22,44600,44800,42600,42600,3712300
2023-02-23,42600,42850,40600,42000,4588000
2023-02-24,41700,42000,40900,41000,3013500
2023-02-27,40000,40900,39400,40900,5325900
2023-02-28,41000,41950,40400,41500,1631900
2023-03-01,41050,41300,39800,41200,3325100
2023-03-02,41000,41500,40450,41100,1947400
2023-03-03,41000,41200,40550,40950,1387200
2023-03-06,41750,43200,41500,42100,2996100
2023-03-07,42700,43000,42100,42300,1670600
2023-03-08,41300,42350,41300,42350,1952900
2023-03-09,42350,43000,42250,42400,1780100
2023-03-10,42400,43000,42000,42850,2536600
2023-03-13,42800,44800,42750,44750,3225100
2023-03-14,44200,45350,44100,44750,2838200
2023-03-15,45250,46600,44950,46000,2069400
2023-03-16,45800,45800,44250,44500,2039000
2023-03-17,44600,45200,43350,43350,4942600
2023-03-20,44100,44100,42550,42550,2167400
2023-03-21,43000,45500,43000,45400,2538300
2023-03-22,45600,48000,45600,47650,4074500
2023-03-23,47400,48000,46850,48000,2033500
2023-03-24,48000,49850,48000,49150,2380400
2023-03-27,49000,49500,48400,48500,1622900
2023-03-28,48450,49500,47000,48000,2390800
2023-03-29,48050,48050,47100,47500,1099000
2023-03-30,48800,49950,48100,49800,1604300
2023-03-31,49600,51500,49600,51300,2352500
2023-04-03,52200,53700,52000,53000,2725900
2023-04-04,53000,53000,51200,51300,1201100
2023-04-05,51000,52200,50600,52200,2100200
2023-04-06,52000,52200,51500,51800,979500
2023-04-07,51200,51500,50300,50700,666700
2023-04-10,51400,51500,49900,49900,1272900
2023-04-11,49300,51600,49300,51600,1949500
2023-04-12,51900,52100,51000,51500,1883900
2023-04-13,51600,51700,50500,50500,1177100
2023-04-14,50700,51500,49700,49800,1011200
