date,open,high,low,close,volume
2023-01-03,48310,50260,48250,50260,1535200
2023-01-04,50770,50900,49820,50260,794300
2023-01-05,50380,51210,50380,50630,1012600
2023-01-06,50500,50950,50380,50440,719400
2023-01-09,50570,50830,50200,50440,518900
2023-01-10,50700,51080,50380,50500,752700
2023-01-11,50500,51280,50500,50830,1076900
2023-01-12,50900,51210,50380,50700,542500
2023-01-13,50570,51020,50260,50260,628300
2023-01-16,50320,50900,50070,50770,574500
2023-01-17,51020,51510,50900,51510,978200
2023-01-18,51570,52400,51380,52400,954600
2023-01-19,52150,52900,52090,52710,1327200
2023-01-27,52830,53710,52770,52770,1140700
2023-01-30,52900,53030,52580,52580,891000
2023-01-31,52460,52580,51330,52460,1529100
2023-02-01,52770,52770,51380,51510,1048300
2023-02-02,51570,51770,51080,51450,1325200
2023-02-03,51510,51510,50320,50320,1729000
2023-02-06,50260,51280,50070,50570,943400
2023-02-07,50570,51450,50570,50700,750800
2023-02-08,50770,51330,50630,51020,669700
2023-02-09,50900,51280,50700,50700,743000
2023-02-10,50950,51020,50570,50700,725000
2023-02-13,50700,51020,50260,50700,613200
2023-02-14,50700,50900,50380,50770,619700
2023-02-15,50570,51450,50440,51280,645200
2023-02-16,51280,51510,50700,51280,424200
2023-02-17,51020,51280,50900,51280,467600
2023-02-20,51280,52150,51150,52030,1275100
2023-02-21,52030,52580,51900,52030,840000
2023-02-22,51700,51830,51380,51380,747200
2023-02-23,51330,51330,50630,51150,1160500
2023-02-24,50950,51080,50500,50770,559200
2023-02-27,50260,50570,50200,50440,1015400
2023-02-28,50260,50700,49960,50570,524300
2023-03-01,49960,50570,49440,50570,1376400
2023-03-02,50260,50570,50130,50260,430800
2023-03-03,49820,50260,49310,49310,740800
2023-03-06,49060,50130,49060,49130,817200
2023-03-07,49700,50200,49500,49500,792000
2023-03-08,49310,49960,49310,49960,510600
2023-03-09,49960,50700,49760,50630,640300
2023-03-10,50380,50500,49630,49960,640900
2023-03-13,49060,49890,49060,49570,886500
