date,open,high,low,close,volume
2021-01-04,27400,27800,27400,27680,1993800
2021-01-05,27480,27590,27340,27480,2155700
2021-01-06,27710,29040,27290,28000,3674500
2021-01-07,28000,28630,27820,28050,1678500
2021-01-08,28290,28290,27650,27820,2034900
2021-01-11,27820,27880,27480,27680,2758800
2021-01-12,27680,28110,27480,27970,2189300
2021-01-13,28000,28230,27760,27800,1650200
2021-01-14,27820,28110,27530,28030,1904800
2021-01-15,28290,28400,28030,28030,2404700
2021-01-18,28050,28110,27880,27910,1685100
2021-01-19,27880,27880,25960,25960,2701100
2021-01-20,25960,26680,24380,26110,2306500
2021-01-21,26160,26680,25930,26680,1347000
2021-01-22,26680,26700,25880,25960,2211800
2021-01-25,25820,25930,25480,25600,1371900
2021-01-26,25450,25450,23980,24420,1836800
2021-01-27,24420,24890,23290,23700,2102100
2021-01-28,22370,22950,22060,22060,2692000
2021-01-29,20940,23430,20940,22900,2008200
2021-02-01,22900,23530,22170,22440,1545000
2021-02-02,22310,22920,22110,22580,2497300
2021-02-03,23000,23810,22780,23720,1851900
2021-02-04,23760,23860,23470,23810,1378500
2021-02-05,23810,24150,23700,23980,1279600
2021-02-08,23980,24090,22400,23000,1874900
2021-02-09,23240,23640,22780,23410,1448500
2021-02-17,23430,24150,23430,24150,1439000
2021-02-18,24210,24950,23920,24890,2339700
2021-02-19,24670,25540,24590,25300,2027200
2021-02-22,25300,25540,25070,25100,1523800
2021-02-23,25100,25300,24780,25240,1533100
2021-02-24,25180,25360,24440,24710,1640000
2021-02-25,24750,25120,24210,24650,1733200
2021-02-26,24560,25070,24270,25010,1379500
2021-03-01,25010,25480,25010,25300,2251400
2021-03-02,25540,25600,25160,25270,2124000
2021-03-03,25270,25360,25070,25120,1583800
2021-03-04,25240,25390,24270,24530,2089500
2021-03-05,24530,24840,24090,24330,1857200
2021-03-08,24890,24890,24270,24360,1595300
2021-03-09,24330,24330,23810,24010,2430700
2021-03-10,24090,24210,23760,24090,2056500
2021-03-11,24500,25010,24420,24840,1672400
2021-03-12,24950,25070,24720,24870,2536400
2021-03-15,24950,25010,24560,24670,2779700
2021-03-16,24670,24780,24270,24330,2223700
2021-03-17,24380,24890,24070,24840,4346500
2021-03-18,25240,25990,24980,25820,5666500
2021-03-19,25820,26050,25640,25820,2885400
2021-03-22,25820,25820,25540,25620,2562800
2021-03-23,25540,25560,24720,25070,4549300
2021-03-24,24670,24840,24040,24180,3341900
2021-03-25,24380,24650,24070,24240,2369000
2021-03-26,24070,24330,23240,24150,2445100
2021-03-29,24380,24470,24180,24420,1347900
2021-03-30,24670,24710,24270,24590,2304200
2021-03-31,24650,24930,24560,24650,2170100
2021-04-01,24670,25240,24670,25220,3706500
2021-04-02,25480,26110,25270,25820,5794100
2021-04-05,26220,26340,25880,26130,5969400
2021-04-06,26050,26530,25840,26250,4113800
2021-04-07,26220,26250,26020,26130,2609000
2021-04-08,26220,26280,25640,25700,4412400
2021-04-09,25640,25700,25270,25420,4489700
2021-04-12,25540,25990,25300,25670,5149300
2021-04-13,25820,25880,24950,25040,3952000
2021-04-14,24950,25420,24670,25240,2839300
2021-04-15,25300,25360,24670,24710,3705100
2021-04-16,24590,24950,24010,24090,4667300
2021-04-19,24090,24720,23980,24670,3194000
2021-04-20,24720,25240,24650,24780,2676100
2021-04-22,24780,24780,23530,23530,2929700
2021-04-23,23530,24180,23430,24090,3078200
2021-04-26,23950,24090,23240,23240,3328300
2021-04-27,23240,23410,23060,23140,1978500
2021-04-28,23140,23470,23140,23290,1379200
2021-04-29,23290,24040,23290,23530,1949100
2021-05-04,22950,23980,22950,23700,2171900
2021-05-05,23920,24300,23810,24040,2692200
2021-05-06,24040,24040,23640,23670,2246100
2021-05-07,23290,23640,23240,23320,3706600
2021-05-10,23240,23810,23140,23760,3027800
2021-05-11,24090,24950,23980,24150,5349300
2021-05-12,24090,24500,23980,24470,3331500
2021-05-13,24380,24890,24090,24440,3483900
2021-05-14,24560,24670,24270,24300,2724600
2021-05-17,24380,24670,23920,23980,2992400
2021-05-18,23920,23920,23410,23470,3903100
2021-05-19,23530,23760,23290,23470,2872100
2021-05-20,23470,24040,22950,24010,3495000
2021-05-21,24090,25670,24010,25670,13027500
2021-05-24,26110,26620,26110,26400,6994100
2021-05-25,26400,26870,26070,26790,6329600
2021-05-26,26790,27020,26510,26760,7369800
2021-05-27,26850,26850,25840,26050,5862300
2021-05-28,26160,27370,25760,27060,7857000
2021-05-31,27420,28000,27250,27940,5597900
2021-06-01,28030,28110,27530,27530,4096100
2021-06-02,27140,27510,27080,27200,6043600
2021-06-03,27420,28400,27200,28000,6715400
2021-06-04,27940,28400,27530,28110,5939600
2021-06-07,27820,27880,26160,26850,5275100
2021-06-08,26910,27080,25640,25700,5685400
2021-06-09,25820,26220,25240,26070,4454300
2021-06-10,26070,26160,25180,25180,4463400
2021-06-11,25240,25960,24950,25930,6390300
2021-06-14,26110,26160,25620,25760,3394300
2021-06-15,25670,25900,25240,25760,3257000
2021-06-16,25640,26790,25360,25990,4217600
2021-06-17,25600,26580,25600,26340,3579300
2021-06-18,26530,26680,26220,26480,3200200
2021-06-21,26340,26400,25730,25820,4237600
2021-06-22,25990,26070,25760,25820,2781900
2021-06-23,25760,26620,25760,26050,2574200
2021-06-24,26050,26340,25820,25930,2110700
2021-06-25,25880,26400,25640,26130,2572300
2021-06-28,26400,27020,26190,26910,6685100
2021-06-29,26960,27480,26730,26910,3945700
2021-06-30,26910,27230,26870,27110,4001800
2021-07-01,27250,27340,26870,27140,4601600
2021-07-02,27250,27400,26910,27000,4204700
2021-07-05,27000,27000,25930,26760,3489500
2021-07-06,26910,27880,25240,25240,6222400
2021-07-07,25540,26190,25010,26110,3943600
2021-07-08,26110,26480,25780,26280,2127400
2021-07-09,25930,26400,25240,25760,3587800
2021-07-12,25600,25600,23980,24090,6021800
2021-07-13,24380,24530,23830,24330,1982500
2021-07-14,24400,24510,23540,24450,1788900
2021-07-15,24130,24760,24110,24510,1793200
2021-07-16,24570,24690,24400,24400,1416400
2021-07-19,23600,24050,22770,22770,2960800
2021-07-20,22790,23540,22330,23540,2713600
2021-07-21,23760,23760,23240,23360,1157700
2021-07-22,23300,23600,23300,23540,1700900
2021-07-23,23480,23820,23080,23080,1799400
2021-07-26,22950,23150,22680,22950,1436600
2021-07-27,23190,23420,23050,23080,1428900
2021-07-28,23080,23240,22950,23240,1233300
2021-07-29,23420,23540,23300,23540,1179900
2021-07-30,23720,23740,23510,23600,2031500
2021-08-02,24110,24660,24110,24430,3954300
2021-08-03,24280,24890,24170,24890,2765600
2021-08-04,24910,24970,24510,24690,2140000
2021-08-05,24450,24970,24280,24660,2116600
2021-08-06,24660,24910,24450,24630,1868300
2021-08-09,24430,24760,24320,24760,1743800
2021-08-10,24830,24970,24710,24850,1867400
2021-08-11,24850,25320,24630,24740,2739100
2021-08-12,24890,24910,24570,24570,1709400
