date,open,high,low,close,volume
2022-01-04,96000,101500,95700,101000,3071100
2022-01-05,100800,102200,99500,100000,3396500
2022-01-06,101000,106400,100500,104500,5061400
2022-01-07,106400,106400,102200,102200,3108800
2022-01-10,102500,105500,102200,102300,2594000
2022-01-11,102000,102000,99800,101000,2240600
2022-01-12,101500,101500,98000,100800,2338500
2022-01-13,101000,101000,98500,98800,1955700
2022-01-14,98200,99600,98200,98900,1017400
2022-01-17,99000,99200,94500,97000,2628900
2022-01-18,97000,97000,94100,95900,2032000
2022-01-19,95000,95900,93500,95800,2479700
2022-01-20,94600,96300,94600,95000,1689300
2022-01-21,95900,96000,93300,95500,3192800
2022-01-24,94900,96000,92500,95000,3935300
2022-01-25,95000,97700,93400,96000,3198400
2022-01-26,96500,96500,94500,96400,1932000
2022-01-27,96500,96500,94200,96500,2559000
2022-01-28,95100,97000,94500,97000,2999600
2022-02-07,96400,97500,91200,91200,7413400
2022-02-08,91300,92300,86700,87300,8010800
2022-02-09,87600,88700,84900,85700,8812500
2022-02-10,85700,86000,81700,84000,11088500
2022-02-11,83000,83600,81500,81700,7846400
2022-02-14,81700,84000,80700,81800,4973500
2022-02-15,82000,83800,81800,83700,3001500
2022-02-16,83900,83900,82700,82900,1986000
2022-02-17,82800,83500,82000,83100,2865600
2022-02-18,82500,82800,82000,82200,2914400
2022-02-21,82100,83800,82000,83600,2513700
2022-02-22,83000,83300,81800,82000,2975200
2022-02-23,82100,82500,82000,82500,1439000
2022-02-24,82300,82400,79300,80100,6367500
2022-02-25,80900,80900,79100,79100,3385500
2022-02-28,79500,79500,77000,77000,4678600
2022-03-01,77100,79900,77000,79200,3467600
2022-03-02,79200,79200,77200,78900,2401000
2022-03-03,78900,80400,78300,79000,2610400
2022-03-04,79000,79300,77800,79000,3817400
2022-03-07,78400,79000,77300,78500,2427800
2022-03-08,78000,78900,77100,77900,4290200
2022-03-09,78100,78700,77300,78000,3049900
2022-03-10,78500,80600,78000,79100,4366600
2022-03-11,78800,79000,77800,79000,2222400
2022-03-14,78800,78800,77400,78300,2622700
2022-03-15,78000,78600,77000,78300,2733900
2022-03-16,78300,78400,77200,78100,2950000
2022-03-17,78300,78500,77300,78400,2565900
2022-03-18,78300,79500,77400,78800,5520700
2022-03-21,78800,81000,78300,81000,3705300
2022-03-22,81000,82400,81000,82200,3631800
2022-03-23,82100,82400,81400,81400,1529200
2022-03-24,81400,81400,80400,81000,1995200
2022-03-25,80600,81000,79700,81000,2193500
2022-03-28,79900,81200,79700,80500,2339900
2022-03-29,80000,81800,79800,80800,2722800
2022-03-30,82500,82700,80400,81100,3088400
2022-03-31,81100,82300,81000,81200,1372000
2022-04-01,81400,82500,80900,82100,2609900
2022-04-04,82500,82800,81500,82700,2730500
2022-04-05,82500,83100,81700,82300,3591100
2022-04-06,80500,82300,79500,80500,5679100
2022-04-07,80200,80300,77600,79500,3704800
2022-04-08,80000,82400,80000,81700,5192000
2022-04-12,81400,81400,80300,81300,2356500
2022-04-13,81000,82300,80700,82200,3146300
2022-04-14,81600,82200,81100,81700,1763700
2022-04-15,81500,81800,80600,80700,1678400
2022-04-18,80000,80100,78100,79500,2984700
2022-04-19,78600,79800,77800,78800,1816000
2022-04-20,78000,79800,78000,79300,1713900
2022-04-21,79000,79500,77500,77500,2684300
2022-04-22,77700,79000,77600,77700,1844100
2022-04-25,77800,79200,72700,76200,2738000
2022-04-26,73500,78500,73500,78000,3661700
2022-04-27,76000,78000,75000,78000,2793500
2022-04-28,78000,78200,76300,77900,1386100
2022-04-29,77500,80000,76600,80000,2148700
2022-05-04,79600,80000,77700,79700,1436000
2022-05-05,79600,80000,78500,80000,1858600
2022-05-06,78500,80000,78000,79800,1690000
2022-05-09,78700,79200,77900,79100,2428900
2022-05-10,78900,80400,78100,80400,2617900
2022-05-11,80200,80500,78700,80500,1983600
2022-05-12,80000,80000,77100,79000,2474100
2022-05-13,79000,79000,77200,78000,3134600
2022-05-16,79000,79000,76200,77000,1994100
2022-05-17,76000,78000,75200,78000,1857400
2022-05-18,78000,78000,76000,78000,2964900
2022-05-19,76400,79000,76200,77900,2650300
2022-05-20,77900,77900,76500,77800,2331100
2022-05-23,77600,77700,76200,77400,2644700
2022-05-24,77000,77600,76400,77600,1568300
2022-05-25,77600,78100,76700,77700,1360400
2022-05-26,77700,77700,76800,77700,2076700
2022-05-27,77400,78000,77000,78000,1575800
2022-05-30,78000,78500,77200,78500,1390900
2022-05-31,78000,79500,77700,78800,1776600
2022-06-01,78600,79400,78300,79300,1539200
2022-06-02,79200,79200,77600,78900,2935600
2022-06-03,78100,79200,78000,78800,1249100
2022-06-06,78700,78900,77900,78500,1503500
2022-06-07,78500,78500,77700,78000,1562200
2022-06-08,77800,78700,77600,78100,1441700
2022-06-09,78000,78200,77300,78100,1542100
2022-06-10,77800,78200,77500,78000,979600
2022-06-13,76600,77400,76200,76400,1795500
2022-06-14,76200,76600,75200,76600,2058500
2022-06-15,76600,76900,75300,76700,2037200
2022-06-16,76000,77700,75800,76600,1597800
2022-06-17,75800,76600,75100,76600,3725300
2022-06-20,76600,76600,75300,75600,2132800
2022-06-21,75200,75200,73800,75000,1956200
2022-06-22,74700,75000,73600,75000,1418900
2022-06-23,74100,74200,73000,74200,1548900
2022-06-24,73500,74600,72000,74600,1514800
2022-06-27,73800,74800,73500,73800,1822400
2022-06-28,73000,73800,72400,73600,2228300
2022-06-29,72800,73400,72300,73400,1429300
2022-06-30,72700,73500,72400,73500,1878800
2022-07-01,73200,73400,72100,72600,1866600
2022-07-04,72400,72700,72200,72700,758300
2022-07-05,72700,72800,72000,72300,1478700
2022-07-06,72000,72100,67500,67500,2171700
2022-07-07,68000,69800,66500,69800,2174100
2022-07-08,70000,70700,67500,70000,1413800
2022-07-11,67700,70000,66200,70000,2385900
2022-07-12,68600,70200,68000,69900,1212400
2022-07-13,68600,70000,68300,69500,2004600
2022-07-14,69500,69800,68500,69500,1414300
2022-07-15,69100,69800,68600,69600,1582500
2022-07-18,69600,69600,68000,68000,1088000
2022-07-19,68000,69000,68000,68800,655400
2022-07-20,68800,69000,68200,68200,626100
2022-07-21,68200,68800,68100,68500,930600
2022-07-22,68100,68500,66500,66500,674700
2022-07-25,66900,67400,66500,67300,755800
2022-07-26,66100,67600,66100,66100,592700
2022-07-27,66200,66800,66000,66500,581400
2022-07-28,66600,67100,66000,67000,1152200
2022-07-29,67800,67800,64000,64000,1908500
2022-08-01,64900,65099,64099,64700,1261800
2022-08-02,64800,65800,64500,65800,958300
2022-08-03,65800,66400,65099,66000,1250700
2022-08-04,66000,66400,65400,66400,1146000
