date,value,return,cash,holdings_value,regime
2023-01-03,99602062.52000001,-0.39793747999998924,117692.520000007,99484370,choppy
2023-01-04,99251122.52000001,-0.7488774799999893,117692.520000007,99133430,choppy
2023-01-05,100273272.52000001,0.27327252000001073,117692.520000007,100155580,choppy
2023-01-06,100520392.52000001,0.5203925200000108,117692.520000007,100402700,choppy
2023-01-09,99566412.52000001,-0.43358747999998926,117692.520000007,99448720,choppy
2023-01-10,98907002.52000001,-1.0929974799999893,117692.520000007,98789310,choppy
2023-01-11,100206882.52000001,0.20688252000001076,117692.520000007,100089190,choppy
2023-01-12,100252792.52000001,0.25279252000001073,117692.520000007,100135100,choppy
2023-01-13,101057302.52000001,1.0573025200000106,117692.520000007,100939610,choppy
2023-01-16,100660682.52000001,0.6606825200000107,117692.520000007,100542990,choppy
2023-01-17,101650842.52000001,1.6508425200000107,117692.520000007,101533150,choppy
2023-01-18,103253122.52000001,3.253122520000011,117692.520000007,103135430,choppy
2023-01-19,103559272.52000001,3.5592725200000106,117692.520000007,103441580,choppy
2023-01-27,106339732.52000001,6.339732520000011,117692.520000007,106222040,choppy
2023-01-30,104561442.52000001,4.561442520000011,117692.520000007,104443750,choppy
2023-01-31,104072932.52000001,4.072932520000011,117692.520000007,103955240,choppy
2023-02-01,102323232.52000001,2.323232520000011,117692.520000007,102205540,choppy
2023-02-02,103901552.52000001,3.9015525200000107,117692.520000007,103783860,choppy
2023-02-03,103388102.52000001,3.388102520000011,117692.520000007,103270410,choppy
2023-02-06,103484172.52000001,3.484172520000011,117692.520000007,103366480,choppy
2023-02-07,101575262.52000001,1.5752625200000105,117692.520000007,101457570,choppy
2023-02-08,101644102.52000001,1.6441025200000108,117692.520000007,101526410,choppy
2023-02-09,100572782.52000001,0.5727825200000107,117692.520000007,100455090,choppy
2023-02-10,98786272.52000001,-1.2137274799999893,117692.520000007,98668580,choppy
2023-02-13,98617272.52000001,-1.3827274799999894,117692.520000007,98499580,choppy
2023-02-14,97253642.52000001,-2.7463574799999892,117692.520000007,97135950,choppy
2023-02-15,97669102.52000001,-2.3308974799999893,117692.520000007,97551410,choppy
2023-02-16,98325652.52000001,-1.6743474799999893,117692.520000007,98207960,choppy
2023-02-17,98223592.52000001,-1.7764074799999894,117692.520000007,98105900,choppy
2023-02-20,100380202.52000001,0.38020252000001076,117692.520000007,100262510,choppy
2023-02-21,100445122.52000001,0.44512252000001074,117692.520000007,100327430,choppy
2023-02-22,97600042.52000001,-2.399957479999989,117692.520000007,97482350,choppy
2023-02-23,97141192.52000001,-2.8588074799999896,117692.520000007,97023500,choppy
2023-02-24,96654892.52000001,-3.345107479999989,117692.520000007,96537200,choppy
2023-02-27,94847172.52000001,-5.152827479999989,117692.520000007,94729480,choppy
2023-02-28,95111332.52000001,-4.888667479999989,117692.520000007,94993640,choppy
2023-03-01,96220412.52000001,-3.7795874799999893,117692.520000007,96102720,choppy
2023-03-02,95580152.52000001,-4.41984747999999,117692.520000007,95462460,choppy
2023-03-03,94843572.52000001,-5.156427479999989,117692.520000007,94725880,choppy
2023-03-06,94886412.52000001,-5.113587479999989,117692.520000007,94768720,choppy
2023-03-07,95514682.52000001,-4.485317479999989,117692.520000007,95396990,choppy
2023-03-08,95723722.52000001,-4.276277479999989,117692.520000007,95606030,choppy
2023-03-09,96182482.52000001,-3.817517479999989,117692.520000007,96064790,choppy
