date,value,return,cash,holdings_value,regime
2024-01-02,99601933.96,-0.39806604000000656,85423.95999999717,99516510,choppy
2024-01-03,100755703.96,0.7557039599999934,85423.95999999717,100670280,choppy
2024-01-04,102074743.96,2.0747439599999935,85423.95999999717,101989320,choppy
2024-01-05,102141643.96,2.1416439599999935,85423.95999999717,102056220,choppy
2024-01-08,103085673.96,3.085673959999993,85423.95999999717,103000250,choppy
2024-01-09,103583423.96,3.5834239599999935,85423.95999999717,103498000,choppy
2024-01-10,103590873.96,3.5908739599999935,85423.95999999717,103505450,choppy
2024-01-11,104050200.96,4.0502009599999935,85423.95999999717,103964777,choppy
2024-01-12,104119093.96,4.119093959999994,85423.95999999717,104033670,choppy
2024-01-15,103819063.96,3.8190639599999936,85423.95999999717,103733640,choppy
2024-01-16,104081340.96,4.081340959999993,85423.95999999717,103995917,choppy
2024-01-17,103564010.96,3.5640109599999934,85423.95999999717,103478587,choppy
2024-01-18,104114613.96,4.114613959999994,85423.95999999717,104029190,choppy
2024-01-19,105845193.96,5.845193959999993,85423.95999999717,105759770,choppy
2024-01-22,105988533.96,5.988533959999994,85423.95999999717,105903110,choppy
2024-01-23,105459013.96,5.459013959999994,85423.95999999717,105373590,choppy
2024-01-24,104858503.96,4.858503959999993,85423.95999999717,104773080,choppy
2024-01-25,104718713.96,4.718713959999993,85423.95999999717,104633290,choppy
2024-01-26,105124973.96,5.124973959999993,85423.95999999717,105039550,choppy
2024-01-29,105180663.96,5.180663959999993,85423.95999999717,105095240,choppy
2024-01-30,105152813.96,5.152813959999993,85423.95999999717,105067390,choppy
2024-01-31,104109140.96,4.109140959999993,85423.95999999717,104023717,choppy
2024-02-01,105186220.96,5.186220959999993,85423.95999999717,105100797,choppy
2024-02-02,105253540.96,5.253540959999993,85423.95999999717,105168117,choppy
2024-02-05,108113123.96,8.113123959999994,85423.95999999717,108027700,choppy
2024-02-06,108737363.96,8.737363959999993,85423.95999999717,108651940,choppy
2024-02-07,110733923.96,10.733923959999993,85423.95999999717,110648500,choppy
2024-02-15,110955963.96,10.955963959999995,85423.95999999717,110870540,choppy
2024-02-16,112310773.96,12.310773959999993,85423.95999999717,112225350,choppy
2024-02-19,114084643.96,14.084643959999992,85423.95999999717,113999220,choppy
2024-02-20,113507023.96,13.507023959999994,85423.95999999717,113421600,choppy
2024-02-21,113900403.96,13.900403959999993,85423.95999999717,113814980,choppy
2024-02-22,114558043.96,14.558043959999994,85423.95999999717,114472620,choppy
2024-02-23,113309793.96,13.309793959999993,85423.95999999717,113224370,choppy
2024-02-26,115238243.96,15.238243959999995,85423.95999999717,115152820,choppy
2024-02-27,116714383.96,16.714383959999992,85423.95999999717,116628960,choppy
2024-02-28,116992823.96,16.992823959999996,85423.95999999717,116907400,choppy
2024-02-29,116481743.96,16.481743959999992,85423.95999999717,116396320,choppy
2024-03-01,116711543.96,16.711543959999993,85423.95999999717,116626120,choppy
2024-03-04,117450563.96,17.450563959999993,85423.95999999717,117365140,choppy
2024-03-05,118141063.96,18.141063959999993,85423.95999999717,118055640,choppy
2024-03-06,117634343.96,17.634343959999992,85423.95999999717,117548920,choppy
2024-03-07,117742913.96,17.742913959999992,85423.95999999717,117657490,choppy
2024-03-08,114674213.96,14.674213959999992,85423.95999999717,114588790,choppy
2024-03-11,113952363.96,13.952363959999994,85423.95999999717,113866940,choppy
2024-03-12,114833183.96,14.833183959999992,85423.95999999717,114747760,choppy
2024-03-13,117278763.96,17.278763959999992,85423.95999999717,117193340,choppy
2024-03-14,116304343.96,16.304343959999994,85423.95999999717,116218920,choppy
2024-03-15,115818703.96,15.818703959999993,85423.95999999717,115733280,choppy
2024-03-18,112800753.96,12.800753959999994,85423.95999999717,112715330,choppy
2024-03-19,112599303.96,12.599303959999993,85423.95999999717,112513880,choppy
2024-03-20,115438523.96,15.438523959999994,85423.95999999717,115353100,choppy
2024-03-21,118058153.96,18.05815395999999,85423.95999999717,117972730,choppy
2024-03-22,118243853.96,18.243853959999992,85423.95999999717,118158430,choppy
2024-03-25,116951953.96,16.951953959999994,85423.95999999717,116866530,choppy
2024-03-26,118436433.96,18.43643395999999,85423.95999999717,118351010,choppy
2024-03-27,118442983.96,18.442983959999992,85423.95999999717,118357560,choppy
2024-03-28,120545363.96,20.545363959999992,85423.95999999717,120459940,choppy
2024-03-29,119864343.96,19.864343959999996,85423.95999999717,119778920,choppy
2024-04-01,118266116.32,18.26611631999999,44306.3199999854,118221810,bull
2024-04-02,118550526.32,18.550526319999992,44306.3199999854,118506220,bull
2024-04-03,117316986.32,17.316986319999994,44306.3199999854,117272680,bull
2024-04-04,118637956.32,18.637956319999994,44306.3199999854,118593650,bull
2024-04-05,117819656.32,17.819656319999993,44306.3199999854,117775350,bull
2024-04-08,117484496.32,17.48449631999999,44306.3199999854,117440190,bull
2024-04-09,117632966.32,17.632966319999994,44306.3199999854,117588660,bull
2024-04-10,117272396.32,17.272396319999995,44306.3199999854,117228090,bull
2024-04-11,117275616.32,17.275616319999994,44306.3199999854,117231310,bull
2024-04-12,117647176.32,17.647176319999993,44306.3199999854,117602870,bull
2024-04-15,113610136.32,13.610136319999993,44306.3199999854,113565830,bull
2024-04-16,112459476.32,12.459476319999993,44306.3199999854,112415170,bull
2024-04-17,111930696.32,11.930696319999994,44306.3199999854,111886390,bull
2024-04-19,111671346.32,11.671346319999993,44306.3199999854,111627040,bull
2024-04-22,111841726.32,11.841726319999992,44306.3199999854,111797420,bull
2024-04-23,110824836.32,10.824836319999994,44306.3199999854,110780530,bull
2024-04-24,112896416.32,12.896416319999993,44306.3199999854,112852110,bull
2024-04-25,113131126.32,13.131126319999991,44306.3199999854,113086820,bull
2024-04-26,113218766.32,13.218766319999991,44306.3199999854,113174460,bull
2024-05-02,113658296.32,13.658296319999993,44306.3199999854,113613990,bull
2024-05-03,114442156.32,14.442156319999993,44306.3199999854,114397850,bull
2024-05-06,115614236.32,15.614236319999995,44306.3199999854,115569930,bull
2024-05-07,117967286.32,17.967286319999992,44306.3199999854,117922980,bull
2024-05-08,118677226.32,18.677226319999992,44306.3199999854,118632920,bull
2024-05-09,117378796.32,17.378796319999992,44306.3199999854,117334490,bull
2024-05-10,117113356.32,17.11335631999999,44306.3199999854,117069050,bull
2024-05-13,115944076.32,15.944076319999992,44306.3199999854,115899770,bull
2024-05-14,116188166.32,16.188166319999993,44306.3199999854,116143860,bull
2024-05-15,117963016.32,17.96301631999999,44306.3199999854,117918710,bull
2024-05-16,119279086.32,19.279086319999994,44306.3199999854,119234780,bull
2024-05-17,118829196.32,18.829196319999994,44306.3199999854,118784890,bull
2024-05-20,119026176.32,19.026176319999994,44306.3199999854,118981870,bull
2024-05-21,118381686.32,18.381686319999993,44306.3199999854,118337380,bull
2024-05-22,117271836.32,17.27183631999999,44306.3199999854,117227530,bull
2024-05-23,119605566.32,19.605566319999994,44306.3199999854,119561260,bull
2024-05-24,117812796.32,17.812796319999993,44306.3199999854,117768490,bull
2024-05-27,117872646.32,17.872646319999994,44306.3199999854,117828340,bull
2024-05-28,118866506.32,18.866506319999992,44306.3199999854,118822200,bull
2024-05-29,117398116.32,17.398116319999993,44306.3199999854,117353810,bull
2024-05-30,116045856.32,16.04585631999999,44306.3199999854,116001550,bull
2024-05-31,115801206.32,15.801206319999995,44306.3199999854,115756900,bull
2024-06-03,117205896.32,17.20589631999999,44306.3199999854,117161590,bull
2024-06-04,117783886.32,17.783886319999993,44306.3199999854,117739580,bull
2024-06-05,119217346.32,19.217346319999994,44306.3199999854,119173040,bull
2024-06-06,118620036.32,18.620036319999993,44306.3199999854,118575730,bull
2024-06-07,118766896.32,18.766896319999994,44306.3199999854,118722590,bull
2024-06-10,118202626.32,18.202626319999993,44306.3199999854,118158320,bull
2024-06-11,117172436.32,17.172436319999992,44306.3199999854,117128130,bull
2024-06-12,118807986.32,18.80798631999999,44306.3199999854,118763680,bull
2024-06-13,118467926.32,18.467926319999993,44306.3199999854,118423620,bull
2024-06-14,117117486.32,17.11748631999999,44306.3199999854,117073180,bull
2024-06-17,117330986.32,17.330986319999994,44306.3199999854,117286680,bull
2024-06-18,117208626.32,17.208626319999993,44306.3199999854,117164320,bull
2024-06-19,116581426.32,16.58142631999999,44306.3199999854,116537120,bull
2024-06-20,116737876.32,16.73787631999999,44306.3199999854,116693570,bull
2024-06-21,116305626.32,16.305626319999995,44306.3199999854,116261320,bull
2024-06-24,115306026.32,15.306026319999994,44306.3199999854,115261720,bull
2024-06-25,115306026.32,15.306026319999994,44306.3199999854,115261720,bull
2024-06-26,115278516.32,15.278516319999994,44306.3199999854,115234210,bull
2024-06-27,115275856.32,15.275856319999992,44306.3199999854,115231550,bull
2024-06-28,114593566.32,14.593566319999992,44306.3199999854,114549260,bull
2024-07-01,114404273.11999997,14.404273119999974,27063.119999974966,114377210,bull
2024-07-02,115939813.11999997,15.939813119999974,27063.119999974966,115912750,bull
2024-07-03,116137773.11999997,16.137773119999977,27063.119999974966,116110710,bull
2024-07-04,115957443.11999997,15.957443119999976,27063.119999974966,115930380,bull
2024-07-05,116346903.11999997,16.346903119999975,27063.119999974966,116319840,bull
2024-07-08,116431903.11999997,16.431903119999973,27063.119999974966,116404840,bull
2024-07-09,117047573.11999997,17.047573119999974,27063.119999974966,117020510,bull
2024-07-10,116788653.11999997,16.788653119999974,27063.119999974966,116761590,bull
2024-07-11,116145573.11999997,16.145573119999977,27063.119999974966,116118510,bull
2024-07-12,115464073.11999997,15.464073119999973,27063.119999974966,115437010,bull
2024-07-15,115294053.11999997,15.294053119999976,27063.119999974966,115266990,bull
2024-07-16,115408703.11999997,15.408703119999975,27063.119999974966,115381640,bull
2024-07-17,114881233.11999997,14.881233119999976,27063.119999974966,114854170,bull
2024-07-18,115273153.11999997,15.273153119999975,27063.119999974966,115246090,bull
2024-07-19,114439243.11999997,14.439243119999976,27063.119999974966,114412180,bull
